,State,2016 Total Population,2016 Total Migration,2016 Employable Civilians,2016 Employed Civilians,2016 Employed Rate (%),2016 Unemployed Civilians,2016 Median Household Income,2016 Per Capita Income,2017 Total Population,2017 Total Migration,2017 Employable Civilians,2017 Employed Civilians,2017 Employed Rate (%),2017 Unemployed Civilians,2017 Median Household Income,2017 Per Capita Income,2018 Total Population,2018 Total Migration,2018 Employable Civilians,2018 Employed Civilians,2018 Employed Rate (%),2018 Unemployed Civilians,2018 Median Household Income,2018 Per Capita Income,2019 Total Population,2019 Total Migration,2019 Employable Civilians,2019 Employed Civilians,2019 Employed Rate (%),2019 Unemployed Civilians,2019 Median Household Income,2019 Per Capita Income,2020 Total Population,2020 Total Migration,2020 Employable Civilians,2020 Employed Civilians,2020 Employed Rate (%),2020 Unemployed Civilians,2020 Median Household Income,2020 Per Capita Income,2021 Total Population,2021 Total Migration,2021 Employable Civilians,2021 Employed Civilians,2021 Employed Rate (%),2021 Unemployed Civilians,2021 Median Household Income,2021 Per Capita Income
32,North Carolina,9940828,290033,4865408,4460824,44,404584,48256,26779,10052564,302091,4923307,4571020,45,352287,50320,28123,10155624,311774,4978432,4665822,45,312610,52413,29456,10264876,320013,5045479,4764135,46,281344,54602,30783,10386227,319828,5112231,4833887,46,278344,56642,31993,10367022,315842,5119397,4845768,46,273629,60516,34209
33,North Dakota,736162,38436,406834,395584,53,11250,59114,33107,745475,37942,411539,400454,53,11085,61285,34256,752201,37130,412530,400841,53,11689,63473,35373,756717,36411,413728,402322,53,11406,64894,36062,760394,33794,414440,401579,52,12861,65315,36289,773344,34624,416764,403612,52,13152,68131,37343
34,Ohio,11586941,195160,5849603,5425647,46,423956,50674,27800,11609756,195629,5866915,5488180,47,378735,52407,29011,11641879,197879,5892809,5549577,47,343232,54533,30304,11655397,198020,5909927,5595444,48,314483,56602,31552,11675275,194754,5917459,5603630,47,313829,58116,32465,11769923,196260,5970869,5656463,48,314406,61938,34526
35,Oklahoma,3875589,108544,1843120,1733000,44,110120,48038,25628,3896251,107624,1851794,1746419,44,105375,49767,26461,3918137,107896,1860415,1761328,44,99087,51424,27432,3932870,105674,1866957,1772123,45,94834,52919,28422,3949342,104282,1874598,1779157,45,95441,53840,29873,3948136,104718,1881598,1786742,45,94856,56956,30976
36,Oregon,3982267,134334,1993417,1832620,46,160797,53270,28822,4025127,139941,2024122,1885983,46,138139,56119,30410,4081943,141302,2058128,1934643,47,123485,59393,32045,4129803,140170,2093602,1979043,47,114559,62818,33763,4176346,139288,2130784,2014487,48,116297,65667,35393,4207177,136777,2146693,2026107,48,120586,70084,37816
37,Pennsylvania,12783977,229938,6512133,6043693,47,468440,54895,30137,12790505,235380,6518993,6096977,47,422016,56951,31476,12791181,241786,6531763,6151998,48,379765,59445,32889,12791530,246929,6546834,6199456,48,347378,61744,34352,12794885,250274,6558087,6206839,48,351248,63627,35518,12970650,254610,6662890,6295594,48,367296,67587,37725
38,Rhode Island,1054491,34131,564082,520482,49,43600,58387,31904,1056138,34593,564705,526071,49,38634,61043,33315,1056611,34464,562451,527972,49,34479,63296,34619,1057231,34864,564333,533878,50,30455,67167,36121,1057798,34239,566403,535140,50,31263,70305,37504,1091949,37856,588135,552707,50,35428,74489,39603
39,South Carolina,4834605,163407,2323777,2129323,44,194454,46898,25521,4893444,166999,2351303,2181046,44,170257,48781,26645,4955925,171550,2380549,2227307,44,153242,51015,27986,5020806,172405,2415057,2275531,45,139526,53199,29426,5091517,172842,2448315,2312831,45,135484,54864,30727,5078903,177698,2444002,2313378,45,130624,58234,32823
40,South Dakota,851058,28320,453329,434693,51,18636,52078,27516,855444,28592,455357,438339,51,17018,54126,28761,864289,27992,459025,442773,51,16252,56499,29801,870638,27633,459627,443891,50,15736,58275,30773,879336,28159,463888,447607,50,16281,59896,31415,881785,27503,463198,448357,50,14841,63920,33468
41,Tennessee,6548009,182244,3175503,2937131,44,238372,46574,26019,6597381,183618,3207366,2996610,45,210756,48708,27277,6651089,188914,3239353,3047809,45,191544,50972,28511,6709356,191422,3282671,3109872,46,172799,53320,29859,6772268,194476,3324691,3147330,46,177361,54833,30869,6859497,204103,3380708,3201140,46,179568,58516,32908
42,Texas,26956435,533983,13219523,12371392,45,848131,54727,27828,27419612,541518,13473957,12689069,46,784888,57051,28985,27885195,546525,13728630,12985624,46,743006,59570,30143,28260856,552628,13962458,13253631,46,708827,61874,31277,28635442,542290,14214242,13461358,47,752884,63826,32177,28862581,550522,14390216,13618630,47,771586,67321,34255
43,Utah,2948427,94789,1447260,1374146,46,73114,62518,25600,2993941,96802,1476528,1412214,47,64314,65325,26907,3045350,97194,1510998,1452040,47,58958,68374,28239,3096848,99306,1552893,1497354,48,55539,71621,29775,3151239,96947,1595452,1537623,48,57829,74197,30986,3231370,95010,1648313,1590143,49,58170,79133,33378
44,Vermont,626249,22191,344324,327237,52,17087,56104,30663,624636,21816,342233,327264,52,14969,57808,31917,624977,22021,342620,328742,52,13878,60076,33238,624313,21804,341351,329028,52,12323,61973,34577,624340,23494,341487,328642,52,12845,63477,35854,641637,26023,348907,335239,52,13668,67674,37903
45,Virginia,8310301,261726,4291796,4036456,48,255340,66149,34967,8365952,260796,4320683,4084035,48,236648,68766,36268,8413774,262183,4336393,4118723,48,217670,71564,37763,8454463,264181,4356868,4156018,49,200850,74222,39278,8509358,263268,4382484,4179739,49,202745,76398,41255,8582479,267305,4422588,4219781,49,202807,80615,43267
46,Washington,7073146,225934,3576013,3331321,47,244692,62848,32999,7169967,234105,3636944,3418123,47,218821,66174,34869,7294336,244958,3712186,3513856,48,198330,70116,36888,7404107,249707,3781609,3594279,48,187330,73775,38915,7512465,244683,3848596,3660034,48,188562,77006,40837,7617364,238359,3899915,3701656,48,198259,82400,43817
47,West Virginia,1846092,47136,811627,750412,40,61215,42644,24002,1836843,44995,804617,746958,40,57659,44061,24774,1829054,44446,796365,742615,40,53750,44921,25479,1817305,42462,792820,740910,40,51910,46711,26480,1807426,41100,796303,744272,41,52031,48037,27346,1801049,40807,786365,736088,40,50277,50884,28761
48,Wisconsin,5754798,107421,3079765,2910339,50,169426,54610,29253,5763217,109787,3085151,2939880,51,145271,56759,30557,5778394,113048,3089332,2964540,51,124792,59209,32018,5790716,111452,3093923,2982359,51,111564,61747,33375,5806975,110051,3093131,2983277,51,109854,63293,34450,5871661,110670,3123629,3014612,51,109017,67080,36754
49,Wyoming,583029,28830,308716,293598,50,15118,59143,30139,583200,26286,308092,293633,50,14459,60938,31214,581836,25558,304648,290963,50,13685,62268,32295,581024,26934,302047,288503,49,13544,64049,33366,581348,25657,300597,287375,49,13222,65304,34415,576641,26135,297398,284934,49,12464,68002,36288
